ref,title,last_updated,age_days,size_bytes,votes,downloads,views,notebooks,task,apparent_adoption_reason
darkmatternet/automated-driving-crash-reports,Automated Driving Crash Reports,2026-08-16,25,4166160,6,89,295,,NHTSA SGO automated-driving crash EDA,"Closest direct substitute; fresh harmonized SGO data, version history, narratives, and summaries"
sobhanmoosavi/us-accidents,US Accidents (2016 - 2023),2023-05-28,1201,684855912,2703,191057,1152701,516,Large-scale US crash EDA/ML,"Very broad geography and many rows support mapping, prediction, and reusable EDA"
usdot/nhtsa-traffic-fatalities,US Traffic Fatality Records,2019-03-20,2731,,315,,114506,961,NHTSA fatal-crash analysis,"Official-source authority plus rich crash-analysis use despite old update date"
nhtsa/2015-traffic-fatalities,2015 Traffic Fatalities,2019-11-17,2489,20730592,93,7171,58988,175,FARS fatality EDA,"Official NHTSA source, well-known safety questions, analysis-ready records"
jonbown/us-2020-traffic-accidents,US Traffic Accidents,2023-02-26,1292,82475267,69,4321,24715,4,US crash EDA,"Simple crash table with familiar time/location/severity questions"
thedevastator/tesla-accident-fatalities-analysis-and-statistic,Tesla Deaths (Updated 2023),2023-02-01,1317,90953,65,6953,26494,1,Brand-specific crash/fatality EDA,"Topical autonomous/EV safety interest and a compact easy-to-open file"
oktayrdeki/traffic-accidents,Traffic Accidents,2025-01-20,598,4862299,159,16185,73899,26,Crash characteristics EDA/ML,"Low download friction and common severity/condition analysis tasks"
tsiaras/uk-road-safety-accidents-and-vehicles,UK Road Safety: Traffic Accidents and Vehicles,2019-01-15,2795,149163721,234,19582,149571,26,Official road-safety relational analysis,"Authoritative road-safety data with vehicles and accident context"
saurabhshahane/road-traffic-accidents,Road Traffic Accidents,2022-01-26,1688,460895,105,20193,108991,35,Severity prediction/EDA,"Very small download with immediately usable categorical road/weather fields"
nextmillionaire/car-accident-dataset,Car Accident Dataset,2024-01-10,974,7399700,84,7604,36909,12,Car-accident EDA/ML,"Straightforward table, manageable size, and familiar predictive questions"
denkuznetz/traffic-accident-prediction,Traffic Accident Prediction,2024-12-11,638,10278,78,9734,42988,26,Accident-risk prediction,"Tiny task-ready data yields extremely fast first model/visualization"
ianktoo/simulated-roads-accident-data,Simulated Roads Accident Data,2025-07-04,433,1060544,36,1845,6978,120,Accident modeling practice,"Simulation is reusable for notebooks/teaching and has high notebook reuse relative to downloads"
alshival/nhtsa-complaints,NHTSA Customer Complaints,2026-09-11,0,80650372,15,1277,4614,4,NHTSA vehicle-safety text/EDA,"Fresh official-source vehicle safety data with text and brand/model analysis"
